Count of BreweryType,Column Labels,,,,,,,,,
Row Labels,bar,brewpub,closed,contract,large,micro,planning,proprietor,regional,Grand Total
47129,,1,,,,,,,,1
47141,,,,,,3,,,,3
47143,,1,,,,,,,,1
47155,,1,,,,,,,,1
47157,,1,,,,5,,,2,8
47163,,,,,,2,,,,2
47165,,,,,,1,,,,1
47179,,,,,,3,,,,3
47185,,,,,,1,,,,1
47187,,2,,,,2,,,,4
48027,,,,,,1,,,1,2
48029,,3,,,,3,,,,6
48031,,1,,,,,,,1,2
48039,,1,,,,2,,,,3
48041,,1,,,,,,,,1
48053,,1,,,,1,,,,2
48055,,,,,,1,,,,1
48061,,1,,,,,,,,1
48085,,2,,2,,4,,,,8
48091,,,,,,2,,,,2
48113,,7,,,,14,,,2,23
48121,,1,,,,3,,,,4
48133,,,,,,1,,,,1
48139,,,,,,1,,,,1
48141,,1,,,,1,,,,2
48157,,,,,,1,,,,1
48167,,,,,,2,,,,2
48171,,1,,,,1,,,,2
48175,,,,,,1,,,,1
48181,,1,,,,2,,,,3
48183,,,,,,1,,,,1
48187,,,,,,2,,,,2
48201,,4,,,2,14,,,1,21
48209,,,,,,3,,,,3
48213,,1,,,,,,,,1
48231,,,,,,1,,,,1
48245,,1,,,,,,,,1
48259,,2,,,,,,,,2
48265,,1,,,,1,,,,2
48303,,1,,,,,,,,1
48309,,,,,,2,,,,2
48339,,,,,,3,,,,3
48347,,,,,,1,,,,1
48355,,1,,,,3,,,,4
48381,,,,,,1,,,,1
48397,,,,,,2,,,,2
48399,,,,,,1,,,,1
48411,,1,,,,,,,,1
48423,,,,,,2,,,,2
48439,,3,,,1,7,,,1,12
48441,,1,,,,2,,,,3
48451,,1,,,,,,,,1
48453,,4,,1,,9,,,2,16
48477,,,,,,1,,,,1
48485,,,,,,1,,,,1
48491,,,,,,3,,,,3
48499,,,,,,1,,,,1
49011,,,,,,1,,,,1
49035,,4,,,,6,,,1,11
49043,,,,,,1,,,,1
49045,,,,,,1,,,,1
49047,,1,,,,1,,,,2
49053,,1,,,,,,,,1
49057,,1,,,,1,,,,2
50001,,1,,,,1,,,1,3
50003,,1,,,,1,,,,2
50005,,1,,,,1,,,,2
50007,,2,,,,6,,,3,11
50015,,1,,,,2,,,,3
50021,,1,,,,,,,,1
50023,,,,,,1,,,,1
50025,,2,,,,,,,,2
50027,,1,,,,1,,,1,3
51001,,,,,,1,,,,1
51003,,,,,,1,,,,1
51005,,1,,,,,,,,1
51013,,,,1,,1,,,,2
51019,,1,,,,2,,,,3
51023,,,,,1,,,,,1
51047,,,,,,1,,,,1
51059,,2,,,,2,,,,4
51061,,1,,,,,,,,1
51063,,,,,,1,,,,1
51067,,,,,,1,,,,1
51071,,,,,,1,,,,1
51075,,,,,,1,,,,1
51087,,1,,,,1,,,,2
51089,,,,,,1,,,,1
51093,,1,,,,,,,,1
51095,,,,,1,,,,,1
51107,,3,,1,,12,,,,16
51113,,,,,,1,,,,1
51121,,2,,,,,,,,2
51131,,1,,,,,,,,1
51139,,,,,,1,,,,1
51145,,1,,,,,,,,1
51153,,,,,,1,,,,1
51155,,1,,,,,,,,1
51157,,,,,,1,,,,1
51161,,,,,,1,,,,1
51165,,,,,1,,,,,1
51171,,1,,,,,,,,1
51179,,,,,,1,,,,1
51187,,1,,,,,,,,1
51191,,,,,,2,,,,2
51193,,,,,,1,,,,1
51195,,1,,,,,,,,1
51510,,,,1,,,,,1,2
51520,,1,,,,1,,,,2
51540,,,,,,6,,,,6
51550,,,,,,1,,,,1
51590,,,,,,2,,,,2
51600,,1,,,,,,,,1
51610,,,,,,1,,,,1
51630,,1,,,,2,,,,3
51640,,1,,,,,,,,1
51650,,2,,,,2,,,,4
51660,,,,,,3,,,,3
51683,,1,,,,4,,,,5
51700,,,,,,1,,,,1
51710,,,,,,5,,,,5
51730,,1,,,,1,,,,2
51740,,1,,,,1,,,,2
51760,,1,,,,10,,,1,12
51770,,,,,,2,,,,2
51775,,,,,,3,,,,3
51790,,1,,,,2,,,,3
51800,,,,,,1,,,,1
51810,,2,,1,,5,,,,8
51820,,,,,,1,,,,1
51830,,,,,,2,,,,2
51840,,1,,,,2,,,,3
53005,,6,,,,2,,,,8
53007,,4,,,,3,,,,7
53009,,1,,,,1,,,,2
53011,,7,,,,7,,,,14
53013,,1,,,,,,,,1
53015,,1,,,,2,,,,3
53025,,2,,,,1,,,,3
53027,,1,,,,2,,,,3
53029,,1,,,,2,,,,3
53031,,,,,,2,,,,2
53033,,21,,1,3,49,,2,3,79
53035,,3,,,,4,,,1,8
53037,,,,,,2,,,,2
53039,,,,,,2,,,,2
53041,,1,,,,1,,,,2
53043,,,,,,1,,,,1
53047,,2,,,,1,,,,3
53049,,,,,,1,,,,1
53053,,4,,3,,15,,1,,23
53055,,1,,,,2,,,,3
53057,,3,,,,3,,,,6
53059,,,,,,2,,,,2
53061,,5,,1,,12,,,,18
53063,,3,,,,12,,,,15
53065,,2,,,,1,,,,3
53067,,2,,,,4,,,,6
53069,,,,,,1,,,,1
53071,,2,,,,3,,,,5
53073,,4,,,,10,,,,14
53077,,,,,,8,,,1,9
54011,,1,,,,,,,,1
54037,,1,,,,1,,,,2
54039,,1,,,,,,,,1
54061,,1,,,,1,,1,,3
54067,,,,,,1,,,,1
54069,,1,,,,1,,,,2
54081,,1,,,,1,,,,2
54083,,,,,,2,,,,2
54093,,,,,,3,,,,3
54107,,2,,,,,,,,2
55003,,,,,,1,,,,1
55007,,,,,,1,,,,1
55009,,4,,,,4,,,,8
55011,,,,1,,,,,,1
55015,,,,,,2,,,,2
55017,,1,,,1,1,,,,3
55021,,,,,,2,,,,2
55023,,,,,,1,,,,1
55025,,10,,2,,7,,,3,22
55029,,1,,,,,,,,1
55031,,1,,,,1,,,,2
55033,,1,,,,1,,,,2
55035,,1,,,,1,,,,2
55039,,1,,,,,,,,1
55043,,,,,,1,,,,1
55045,,1,,,,,,,2,3
55049,,1,,,,1,,,,2
55053,,,,1,,1,,,,2
55055,,,,,,3,,,,3
55059,,,,,,3,,,,3
55063,,,,1,,2,,,1,4
55065,,,,,,1,,,,1
55069,,,,,,1,,,,1
55071,,1,,,,1,,,,2
55073,,2,,,,1,,,,3
55075,,1,,,,,,,,1
55079,,7,,3,3,13,,1,1,28
55085,,,,1,,1,,,,2
55087,,1,,,,,,,,1
55089,,1,,,,,,,,1
55093,,1,,,,,,,,1
55095,,1,,,,,,,,1
55097,,1,,,,1,,,2,4
55101,,,,,,3,,,,3
55103,,1,,,,,,,,1
55105,,,,,,2,,,,2
55109,,1,,,,4,,,,5
55111,,1,,,,,,,,1
55113,,1,,,,,,,,1
55115,,1,,,,,,,,1
55117,,1,,,,3,,,,4
55121,,1,,,,1,,,,2
55123,,1,,,,,,,,1
55125,,,,,,1,,,,1
55127,,2,,,,,,,,2
55131,,1,,1,,,,,,2
55133,,1,,1,,,,1,,3
55139,,3,,1,,2,,,,6
55141,,1,,,,,,,,1
56001,,2,,,,1,,,,3
56005,,1,,,,1,,,,2
56009,,,,,,1,,,,1
56013,,1,,,,,,,,1
56017,,1,,,,,,,,1
56019,,,,,,1,,,,1
56021,,1,,,,2,,,,3
56029,,2,,,,,,,,2
56033,,,,,,2,,,,2
56037,,1,,,,1,,,,2
56039,,,,,,2,,,,2
56041,,1,,,,,,,,1
Grand Total,1,1706,1,120,53,2545,125,42,156,4749
